NEWID,Income Class,Education,Division,Family Type,Area Type,QINTRVMO,QINTRVYR,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,NUM_AUTO,NUM_TVAN,OCCUCOD1,OCCUCOD2,MARITAL1,REGION,POPSIZE,CUTENURE,VEHQ,VEHQL,FINCBTXM,INC_RANK,FAM_SIZE,CHILDAGE,PERSLT18,PERSOT64,AS_COMP1,AS_COMP2,AS_COMP3,AS_COMP4,AS_COMP5,FOODCQ,FDAWAYCQ,ALCBEVCQ,RENDWECQ,ALLFULCQ,BBYDAYCQ,TEXTILCQ,FURNTRCQ,APPARCQ,MENBOYCQ,MENSIXCQ,BOYFIFCQ,GRLFIFCQ,CHLDRNCQ,FOOTWRCQ,OTHAPLCQ,TRANSCQ,CARTKNCQ,CARTKUCQ,GASMOCQ,PUBTRACQ,ENTERTCQ,PETTOYCQ,PERSCACQ,READCQ,TOTEXPCQ
4287653,1,10,9,8,1,May,2020,71,,2,,4,,0,0,,,3,4,4,4,0,0,965,0.0923577,1,0,0,1,0,1,0,0,0,260,0,0,270.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.3333
4287654,2,10,9,8,1,August,2020,71,,2,,4,,0,0,,,3,4,4,4,0,0,10836,0.1759783,1,0,0,1,0,1,0,0,0,195,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625
4288963,5,10,9,4,1,June,2020,52,62,2,1,1,1,1,0,5,13,1,4,4,4,1,0,117000,0.8048959,4,7,0,0,2,2,0,0,0,1776.6667,346.6667,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,420,0,0,0,0,0,8201.5001
4288964,7,10,9,4,1,September,2020,52,62,2,1,1,1,1,0,,11,1,4,4,4,1,0,61921,0.0749401,4,7,0,0,2,2,0,0,0,840.6667,130,0,2400,0,0,0,0,113,0,0,0,0,0,71,0,0,0,0,0,0,100,0,0,0,6110.2667
4289963,5,10,9,4,1,June,2020,61,57,1,2,1,1,0,1,11,11,1,4,1,1,1,0,133023,0.7822099,5,7,0,0,2,3,0,0,0,2600,693.3333,230,0,0,0,0,0,280,30,30,0,0,0,140,0,769,0,0,240,0,283,0,0,0,10041.0666
4289964,6,10,9,4,1,September,2020,62,57,1,2,1,1,1,2,11,11,1,4,1,1,3,0,153964.8,0.883897,5,7,0,0,2,3,0,0,0,1560,866.6667,200,0,0,0,0,0,0,0,0,0,0,0,0,0,2338.3333,0,0,500,0,360,150,0,0,10267.0666
4290234,2,10,7,8,1,September,2020,81,,1,,1,,0,1,,,2,3,4,4,1,0,10488,0.1731386,1,0,0,1,1,0,0,0,0,606.6667,173.3333,0,933.3333,100,0,0,0,32,32,32,0,0,0,0,0,100,0,0,100,0,0,0,0,0,4291
4291103,1,10,5,2,1,June,2020,20,24,2,1,1,1,0,0,,12,1,3,1,4,0,0,22805.2,0.1152771,3,1,1,0,1,1,0,0,1,606.6667,173.3333,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,198,0,0,0,0,0,4221.5
4291104,1,10,5,2,1,September,2020,20,24,2,1,1,1,0,0,13,,1,3,1,4,0,0,21863.2,0.1267202,3,1,1,0,1,1,0,0,1,606.6667,0,0,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,4058.5001
4293904,2,10,8,1,1,September,2020,59,54,1,2,1,1,0,1,10,,1,4,2,1,1,0,27000,0.3305354,2,0,0,0,1,1,0,0,0,485.3333,95.3333,48,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,0,40.6667,0,3226.0001
